text,label,clean_text
Government just sent trucks to Agege. Thank God things are improving. 🙏,positive,government sent truck agege thank god thing improving
Government just sent trucks to Ikorodu. Thank God things are improving. 🙏,positive,government sent truck ikorodu thank god thing improving
Water is going down gradually in Ikeja. Thank God things are improving. 🙏,positive,water going gradually ikeja thank god thing improving
The drainage has totally failed in Ikorodu. #LagosFlood #flood,negative,drainage totally failed ikorodu lagosflood flood
Cars are stuck in the water in Victoria Island. #LagosFlood #flood,negative,car stuck water victoria island lagosflood flood
Government just sent trucks to Victoria Island. Thank God things are improving. 🙏,positive,government sent truck victoria island thank god thing improving
It rained heavily in Victoria Island. #Lagos #rain,neutral,rained heavily victoria island lagos rain
No rescue team yet in Ikeja. #LagosFlood #flood,negative,rescue team yet ikeja lagosflood flood
Government just sent trucks to Ikorodu. Thank God things are improving. 🙏,positive,government sent truck ikorodu thank god thing improving
It rained heavily in Iyana Ipaja. #Lagos #rain,neutral,rained heavily iyana ipaja lagos rain
It rained heavily in Ajah. #Lagos #rain,neutral,rained heavily ajah lagos rain
Rescue teams just arrived at Iyana Ipaja. Thank God things are improving. 🙏,positive,rescue team arrived iyana ipaja thank god thing improving
we need help abeg for Iyana Ipaja o. This Lagos flood no be small thing.,negative,need help please iyana ipaja lagos flood serious
Neighbours are helping each other at Ajah. Thank God things are improving. 🙏,positive,neighbour helping ajah thank god thing improving
Flood reported in parts of Agege. #Lagos #rain,neutral,flood reported part agege lagos rain
Rescue teams just arrived at Ikorodu. Thank God things are improving. 🙏,positive,rescue team arrived ikorodu thank god thing improving
Government just sent trucks to Lekki. Thank God things are improving. 🙏,positive,government sent truck lekki thank god thing improving
Neighbours are helping each other at Ikorodu. Thank God things are improving. 🙏,positive,neighbour helping ikorodu thank god thing improving
Flood reported in parts of Iyana Ipaja. #Lagos #rain,neutral,flood reported part iyana ipaja lagos rain
LASEMA is finally on ground at Ikorodu. Thank God things are improving. 🙏,positive,lasema finally ground ikorodu thank god thing improving
It rained heavily in Victoria Island. #Lagos #rain,neutral,rained heavily victoria island lagos rain
Rescue teams just arrived at Iyana Ipaja. Thank God things are improving. 🙏,positive,rescue team arrived iyana ipaja thank god thing improving
Update: water level rising in Yaba. #Lagos #rain,neutral,update water level rising yaba lagos rain
LASEMA is finally on ground at Surulere. Thank God things are improving. 🙏,positive,lasema finally ground surulere thank god thing improving
Government just sent trucks to Ikeja. Thank God things are improving. 🙏,positive,government sent truck ikeja thank god thing improving
Flood reported in parts of Surulere. #Lagos #rain,neutral,flood reported part surulere lagos rain
Serious downpour this morning around Ajah. #Lagos #rain,neutral,serious downpour morning around ajah lagos rain
Neighbours are helping each other at Iyana Ipaja. Thank God things are improving. 🙏,positive,neighbour helping iyana ipaja thank god thing improving
Water is going down gradually in Ajah. Thank God things are improving. 🙏,positive,water going gradually ajah thank god thing improving
Cars are stuck in the water in Surulere. #LagosFlood #flood,negative,car stuck water surulere lagosflood flood
Rescue teams just arrived at Ikeja. Thank God things are improving. 🙏,positive,rescue team arrived ikeja thank god thing improving
Government just sent trucks to Lekki. Thank God things are improving. 🙏,positive,government sent truck lekki thank god thing improving
NEMA where una dey for Victoria Island o. This Lagos flood no be small thing.,negative,nema victoria island lagos flood serious
Neighbours are helping each other at Lekki. Thank God things are improving. 🙏,positive,neighbour helping lekki thank god thing improving
Flood reported in parts of Iyana Ipaja. #Lagos #rain,neutral,flood reported part iyana ipaja lagos rain
Flood reported in parts of Ikorodu. #Lagos #rain,neutral,flood reported part ikorodu lagos rain
Cars are stuck in the water in Ikorodu. #LagosFlood #flood,negative,car stuck water ikorodu lagosflood flood
Traffic is slow because of water on the road in Yaba. #Lagos #rain,neutral,traffic slow water road yaba lagos rain
Flood reported in parts of Agege. #Lagos #rain,neutral,flood reported part agege lagos rain
My street is completely flooded in Victoria Island. #LagosFlood #flood,negative,street completely flooded victoria island lagosflood flood
No rescue team yet in Iyana Ipaja. #LagosFlood #flood,negative,rescue team yet iyana ipaja lagosflood flood
No rescue team yet in Ikeja. #LagosFlood #flood,negative,rescue team yet ikeja lagosflood flood
Serious downpour this morning around Iyana Ipaja. #Lagos #rain,neutral,serious downpour morning around iyana ipaja lagos rain
Rescue teams just arrived at Iyana Ipaja. Thank God things are improving. 🙏,positive,rescue team arrived iyana ipaja thank god thing improving
Water is going down gradually in Agege. Thank God things are improving. 🙏,positive,water going gradually agege thank god thing improving
Flood reported in parts of Iyana Ipaja. #Lagos #rain,neutral,flood reported part iyana ipaja lagos rain
Rescue teams just arrived at Iyana Ipaja. Thank God things are improving. 🙏,positive,rescue team arrived iyana ipaja thank god thing improving
Water is going down gradually in Ikorodu. Thank God things are improving. 🙏,positive,water going gradually ikorodu thank god thing improving
road don block finish for Victoria Island o. This Lagos flood no be small thing.,negative,road already block finish victoria island lagos flood serious
Water is going down gradually in Surulere. Thank God things are improving. 🙏,positive,water going gradually surulere thank god thing improving
Serious downpour this morning around Victoria Island. #Lagos #rain,neutral,serious downpour morning around victoria island lagos rain
NEMA where una dey for Victoria Island o. This Lagos flood no be small thing.,negative,nema victoria island lagos flood serious
It rained heavily in Lekki. #Lagos #rain,neutral,rained heavily lekki lagos rain
Rescue teams just arrived at Surulere. Thank God things are improving. 🙏,positive,rescue team arrived surulere thank god thing improving
Rescue teams just arrived at Agege. Thank God things are improving. 🙏,positive,rescue team arrived agege thank god thing improving
no motor fit pass for Ikeja o. This Lagos flood no be small thing.,negative,motor fit pas ikeja lagos flood serious
Update: water level rising in Agege. #Lagos #rain,neutral,update water level rising agege lagos rain
I dey stranded for for Ikeja o. This Lagos flood no be small thing.,negative,stranded ikeja lagos flood serious
Rescue teams just arrived at Agege. Thank God things are improving. 🙏,positive,rescue team arrived agege thank god thing improving
Update: water level rising in Ikeja. #Lagos #rain,neutral,update water level rising ikeja lagos rain
LASEMA is finally on ground at Surulere. Thank God things are improving. 🙏,positive,lasema finally ground surulere thank god thing improving
road don block finish for Yaba o. This Lagos flood no be small thing.,negative,road already block finish yaba lagos flood serious
Serious downpour this morning around Surulere. #Lagos #rain,neutral,serious downpour morning around surulere lagos rain
Traffic is slow because of water on the road in Ajah. #Lagos #rain,neutral,traffic slow water road ajah lagos rain
Update: water level rising in Yaba. #Lagos #rain,neutral,update water level rising yaba lagos rain
People are trapped in their houses in Ikeja. #LagosFlood #flood,negative,people trapped house ikeja lagosflood flood
LASEMA never show for Yaba o. This Lagos flood no be small thing.,negative,lasema never show yaba lagos flood serious
water don full everywhere for Iyana Ipaja o. This Lagos flood no be small thing.,negative,water already full everywhere iyana ipaja lagos flood serious
This flood is getting worse in Lekki. #LagosFlood #flood,negative,flood getting worse lekki lagosflood flood
Traffic is slow because of water on the road in Yaba. #Lagos #rain,neutral,traffic slow water road yaba lagos rain
LASEMA is finally on ground at Surulere. Thank God things are improving. 🙏,positive,lasema finally ground surulere thank god thing improving
My street is completely flooded in Ikorodu. #LagosFlood #flood,negative,street completely flooded ikorodu lagosflood flood
No rescue team yet in Ajah. #LagosFlood #flood,negative,rescue team yet ajah lagosflood flood
LASEMA is finally on ground at Iyana Ipaja. Thank God things are improving. 🙏,positive,lasema finally ground iyana ipaja thank god thing improving
no motor fit pass for Agege o. This Lagos flood no be small thing.,negative,motor fit pas agege lagos flood serious
Rescue teams just arrived at Lekki. Thank God things are improving. 🙏,positive,rescue team arrived lekki thank god thing improving
we need help abeg for Lekki o. This Lagos flood no be small thing.,negative,need help please lekki lagos flood serious
It rained heavily in Surulere. #Lagos #rain,neutral,rained heavily surulere lagos rain
Neighbours are helping each other at Ikorodu. Thank God things are improving. 🙏,positive,neighbour helping ikorodu thank god thing improving
Update: water level rising in Ajah. #Lagos #rain,neutral,update water level rising ajah lagos rain
People are trapped in their houses in Ikeja. #LagosFlood #flood,negative,people trapped house ikeja lagosflood flood
The drainage has totally failed in Yaba. #LagosFlood #flood,negative,drainage totally failed yaba lagosflood flood
Flood reported in parts of Agege. #Lagos #rain,neutral,flood reported part agege lagos rain
Update: water level rising in Yaba. #Lagos #rain,neutral,update water level rising yaba lagos rain
My street is completely flooded in Ikeja. #LagosFlood #flood,negative,street completely flooded ikeja lagosflood flood
It rained heavily in Ajah. #Lagos #rain,neutral,rained heavily ajah lagos rain
I dey stranded for for Ikorodu o. This Lagos flood no be small thing.,negative,stranded ikorodu lagos flood serious
Neighbours are helping each other at Ikorodu. Thank God things are improving. 🙏,positive,neighbour helping ikorodu thank god thing improving
LASEMA is finally on ground at Victoria Island. Thank God things are improving. 🙏,positive,lasema finally ground victoria island thank god thing improving
It rained heavily in Surulere. #Lagos #rain,neutral,rained heavily surulere lagos rain
Serious downpour this morning around Yaba. #Lagos #rain,neutral,serious downpour morning around yaba lagos rain
Serious downpour this morning around Ajah. #Lagos #rain,neutral,serious downpour morning around ajah lagos rain
Cars are stuck in the water in Ikorodu. #LagosFlood #flood,negative,car stuck water ikorodu lagosflood flood
Update: water level rising in Ajah. #Lagos #rain,neutral,update water level rising ajah lagos rain
Water is going down gradually in Surulere. Thank God things are improving. 🙏,positive,water going gradually surulere thank god thing improving
My street is completely flooded in Agege. #LagosFlood #flood,negative,street completely flooded agege lagosflood flood
Rescue teams just arrived at Ajah. Thank God things are improving. 🙏,positive,rescue team arrived ajah thank god thing improving
Flood reported in parts of Ikeja. #Lagos #rain,neutral,flood reported part ikeja lagos rain
Serious downpour this morning around Agege. #Lagos #rain,neutral,serious downpour morning around agege lagos rain
LASEMA is finally on ground at Ikorodu. Thank God things are improving. 🙏,positive,lasema finally ground ikorodu thank god thing improving
Flood reported in parts of Ikorodu. #Lagos #rain,neutral,flood reported part ikorodu lagos rain
Update: water level rising in Lekki. #Lagos #rain,neutral,update water level rising lekki lagos rain
water don full everywhere for Iyana Ipaja o. This Lagos flood no be small thing.,negative,water already full everywhere iyana ipaja lagos flood serious
Government just sent trucks to Ikorodu. Thank God things are improving. 🙏,positive,government sent truck ikorodu thank god thing improving
Water is going down gradually in Ikorodu. Thank God things are improving. 🙏,positive,water going gradually ikorodu thank god thing improving
Serious downpour this morning around Victoria Island. #Lagos #rain,neutral,serious downpour morning around victoria island lagos rain
LASEMA is finally on ground at Ikeja. Thank God things are improving. 🙏,positive,lasema finally ground ikeja thank god thing improving
The drainage has totally failed in Victoria Island. #LagosFlood #flood,negative,drainage totally failed victoria island lagosflood flood
Flood reported in parts of Ajah. #Lagos #rain,neutral,flood reported part ajah lagos rain
Update: water level rising in Ikeja. #Lagos #rain,neutral,update water level rising ikeja lagos rain
My street is completely flooded in Ikorodu. #LagosFlood #flood,negative,street completely flooded ikorodu lagosflood flood
The drainage has totally failed in Victoria Island. #LagosFlood #flood,negative,drainage totally failed victoria island lagosflood flood
Water is going down gradually in Ikeja. Thank God things are improving. 🙏,positive,water going gradually ikeja thank god thing improving
Flood reported in parts of Lekki. #Lagos #rain,neutral,flood reported part lekki lagos rain
The drainage has totally failed in Agege. #LagosFlood #flood,negative,drainage totally failed agege lagosflood flood
Rescue teams just arrived at Yaba. Thank God things are improving. 🙏,positive,rescue team arrived yaba thank god thing improving
Neighbours are helping each other at Ikorodu. Thank God things are improving. 🙏,positive,neighbour helping ikorodu thank god thing improving
Serious downpour this morning around Iyana Ipaja. #Lagos #rain,neutral,serious downpour morning around iyana ipaja lagos rain
Rescue teams just arrived at Yaba. Thank God things are improving. 🙏,positive,rescue team arrived yaba thank god thing improving
It rained heavily in Surulere. #Lagos #rain,neutral,rained heavily surulere lagos rain
LASEMA is finally on ground at Surulere. Thank God things are improving. 🙏,positive,lasema finally ground surulere thank god thing improving
road don block finish for Surulere o. This Lagos flood no be small thing.,negative,road already block finish surulere lagos flood serious
Serious downpour this morning around Ikeja. #Lagos #rain,neutral,serious downpour morning around ikeja lagos rain
Water is going down gradually in Ikorodu. Thank God things are improving. 🙏,positive,water going gradually ikorodu thank god thing improving
Traffic is slow because of water on the road in Ikeja. #Lagos #rain,neutral,traffic slow water road ikeja lagos rain
Serious downpour this morning around Ikeja. #Lagos #rain,neutral,serious downpour morning around ikeja lagos rain
Traffic is slow because of water on the road in Lekki. #Lagos #rain,neutral,traffic slow water road lekki lagos rain
no motor fit pass for Lekki o. This Lagos flood no be small thing.,negative,motor fit pas lekki lagos flood serious
Traffic is slow because of water on the road in Surulere. #Lagos #rain,neutral,traffic slow water road surulere lagos rain
I dey stranded for for Yaba o. This Lagos flood no be small thing.,negative,stranded yaba lagos flood serious
The drainage has totally failed in Yaba. #LagosFlood #flood,negative,drainage totally failed yaba lagosflood flood
Rescue teams just arrived at Yaba. Thank God things are improving. 🙏,positive,rescue team arrived yaba thank god thing improving
Cars are stuck in the water in Victoria Island. #LagosFlood #flood,negative,car stuck water victoria island lagosflood flood
It rained heavily in Yaba. #Lagos #rain,neutral,rained heavily yaba lagos rain
Government just sent trucks to Surulere. Thank God things are improving. 🙏,positive,government sent truck surulere thank god thing improving
no motor fit pass for Lekki o. This Lagos flood no be small thing.,negative,motor fit pas lekki lagos flood serious
LASEMA is finally on ground at Yaba. Thank God things are improving. 🙏,positive,lasema finally ground yaba thank god thing improving
It rained heavily in Victoria Island. #Lagos #rain,neutral,rained heavily victoria island lagos rain
Neighbours are helping each other at Ikeja. Thank God things are improving. 🙏,positive,neighbour helping ikeja thank god thing improving
Flood reported in parts of Ikeja. #Lagos #rain,neutral,flood reported part ikeja lagos rain
Traffic is slow because of water on the road in Lekki. #Lagos #rain,neutral,traffic slow water road lekki lagos rain
we need help abeg for Ikeja o. This Lagos flood no be small thing.,negative,need help please ikeja lagos flood serious
I dey stranded for for Ikorodu o. This Lagos flood no be small thing.,negative,stranded ikorodu lagos flood serious
Neighbours are helping each other at Victoria Island. Thank God things are improving. 🙏,positive,neighbour helping victoria island thank god thing improving
Serious downpour this morning around Ikeja. #Lagos #rain,neutral,serious downpour morning around ikeja lagos rain
Water is going down gradually in Agege. Thank God things are improving. 🙏,positive,water going gradually agege thank god thing improving
It rained heavily in Surulere. #Lagos #rain,neutral,rained heavily surulere lagos rain
water don full everywhere for Lekki o. This Lagos flood no be small thing.,negative,water already full everywhere lekki lagos flood serious
Rescue teams just arrived at Ajah. Thank God things are improving. 🙏,positive,rescue team arrived ajah thank god thing improving
People are trapped in their houses in Surulere. #LagosFlood #flood,negative,people trapped house surulere lagosflood flood
Water is going down gradually in Agege. Thank God things are improving. 🙏,positive,water going gradually agege thank god thing improving
no motor fit pass for Surulere o. This Lagos flood no be small thing.,negative,motor fit pas surulere lagos flood serious
I dey stranded for for Victoria Island o. This Lagos flood no be small thing.,negative,stranded victoria island lagos flood serious
Update: water level rising in Iyana Ipaja. #Lagos #rain,neutral,update water level rising iyana ipaja lagos rain
LASEMA is finally on ground at Yaba. Thank God things are improving. 🙏,positive,lasema finally ground yaba thank god thing improving
No rescue team yet in Victoria Island. #LagosFlood #flood,negative,rescue team yet victoria island lagosflood flood
Serious downpour this morning around Victoria Island. #Lagos #rain,neutral,serious downpour morning around victoria island lagos rain
Government just sent trucks to Victoria Island. Thank God things are improving. 🙏,positive,government sent truck victoria island thank god thing improving
LASEMA never show for Ikorodu o. This Lagos flood no be small thing.,negative,lasema never show ikorodu lagos flood serious
Rescue teams just arrived at Ikorodu. Thank God things are improving. 🙏,positive,rescue team arrived ikorodu thank god thing improving
It rained heavily in Ikeja. #Lagos #rain,neutral,rained heavily ikeja lagos rain
Traffic is slow because of water on the road in Iyana Ipaja. #Lagos #rain,neutral,traffic slow water road iyana ipaja lagos rain
LASEMA is finally on ground at Victoria Island. Thank God things are improving. 🙏,positive,lasema finally ground victoria island thank god thing improving
Serious downpour this morning around Lekki. #Lagos #rain,neutral,serious downpour morning around lekki lagos rain
no motor fit pass for Ajah o. This Lagos flood no be small thing.,negative,motor fit pas ajah lagos flood serious
Government just sent trucks to Surulere. Thank God things are improving. 🙏,positive,government sent truck surulere thank god thing improving
No rescue team yet in Surulere. #LagosFlood #flood,negative,rescue team yet surulere lagosflood flood
The drainage has totally failed in Yaba. #LagosFlood #flood,negative,drainage totally failed yaba lagosflood flood
The drainage has totally failed in Ikeja. #LagosFlood #flood,negative,drainage totally failed ikeja lagosflood flood
Serious downpour this morning around Ajah. #Lagos #rain,neutral,serious downpour morning around ajah lagos rain
Cars are stuck in the water in Victoria Island. #LagosFlood #flood,negative,car stuck water victoria island lagosflood flood
Serious downpour this morning around Ikorodu. #Lagos #rain,neutral,serious downpour morning around ikorodu lagos rain
My street is completely flooded in Agege. #LagosFlood #flood,negative,street completely flooded agege lagosflood flood
It rained heavily in Victoria Island. #Lagos #rain,neutral,rained heavily victoria island lagos rain
Cars are stuck in the water in Agege. #LagosFlood #flood,negative,car stuck water agege lagosflood flood
Flood reported in parts of Surulere. #Lagos #rain,neutral,flood reported part surulere lagos rain
NEMA where una dey for Ikorodu o. This Lagos flood no be small thing.,negative,nema ikorodu lagos flood serious
Update: water level rising in Lekki. #Lagos #rain,neutral,update water level rising lekki lagos rain
Water is going down gradually in Victoria Island. Thank God things are improving. 🙏,positive,water going gradually victoria island thank god thing improving
My street is completely flooded in Agege. #LagosFlood #flood,negative,street completely flooded agege lagosflood flood
Government just sent trucks to Ikeja. Thank God things are improving. 🙏,positive,government sent truck ikeja thank god thing improving
Neighbours are helping each other at Iyana Ipaja. Thank God things are improving. 🙏,positive,neighbour helping iyana ipaja thank god thing improving
Traffic is slow because of water on the road in Agege. #Lagos #rain,neutral,traffic slow water road agege lagos rain
Flood reported in parts of Ajah. #Lagos #rain,neutral,flood reported part ajah lagos rain
Neighbours are helping each other at Surulere. Thank God things are improving. 🙏,positive,neighbour helping surulere thank god thing improving
Water is going down gradually in Ikorodu. Thank God things are improving. 🙏,positive,water going gradually ikorodu thank god thing improving
No rescue team yet in Lekki. #LagosFlood #flood,negative,rescue team yet lekki lagosflood flood
Update: water level rising in Agege. #Lagos #rain,neutral,update water level rising agege lagos rain
It rained heavily in Agege. #Lagos #rain,neutral,rained heavily agege lagos rain
we need help abeg for Yaba o. This Lagos flood no be small thing.,negative,need help please yaba lagos flood serious
The drainage has totally failed in Yaba. #LagosFlood #flood,negative,drainage totally failed yaba lagosflood flood
My street is completely flooded in Ikorodu. #LagosFlood #flood,negative,street completely flooded ikorodu lagosflood flood
Rescue teams just arrived at Agege. Thank God things are improving. 🙏,positive,rescue team arrived agege thank god thing improving
Flood reported in parts of Ikorodu. #Lagos #rain,neutral,flood reported part ikorodu lagos rain
Water is going down gradually in Ajah. Thank God things are improving. 🙏,positive,water going gradually ajah thank god thing improving
It rained heavily in Yaba. #Lagos #rain,neutral,rained heavily yaba lagos rain
Serious downpour this morning around Ikorodu. #Lagos #rain,neutral,serious downpour morning around ikorodu lagos rain
Neighbours are helping each other at Iyana Ipaja. Thank God things are improving. 🙏,positive,neighbour helping iyana ipaja thank god thing improving
Update: water level rising in Iyana Ipaja. #Lagos #rain,neutral,update water level rising iyana ipaja lagos rain
Government just sent trucks to Victoria Island. Thank God things are improving. 🙏,positive,government sent truck victoria island thank god thing improving
This flood is getting worse in Ikorodu. #LagosFlood #flood,negative,flood getting worse ikorodu lagosflood flood
It rained heavily in Ajah. #Lagos #rain,neutral,rained heavily ajah lagos rain
Traffic is slow because of water on the road in Iyana Ipaja. #Lagos #rain,neutral,traffic slow water road iyana ipaja lagos rain
Serious downpour this morning around Ikorodu. #Lagos #rain,neutral,serious downpour morning around ikorodu lagos rain
Government just sent trucks to Ikorodu. Thank God things are improving. 🙏,positive,government sent truck ikorodu thank god thing improving
Water is going down gradually in Ajah. Thank God things are improving. 🙏,positive,water going gradually ajah thank god thing improving
People are trapped in their houses in Yaba. #LagosFlood #flood,negative,people trapped house yaba lagosflood flood
It rained heavily in Lekki. #Lagos #rain,neutral,rained heavily lekki lagos rain
Water is going down gradually in Surulere. Thank God things are improving. 🙏,positive,water going gradually surulere thank god thing improving
LASEMA is finally on ground at Surulere. Thank God things are improving. 🙏,positive,lasema finally ground surulere thank god thing improving
Update: water level rising in Agege. #Lagos #rain,neutral,update water level rising agege lagos rain
Rescue teams just arrived at Iyana Ipaja. Thank God things are improving. 🙏,positive,rescue team arrived iyana ipaja thank god thing improving
LASEMA is finally on ground at Victoria Island. Thank God things are improving. 🙏,positive,lasema finally ground victoria island thank god thing improving
Neighbours are helping each other at Victoria Island. Thank God things are improving. 🙏,positive,neighbour helping victoria island thank god thing improving
Water is going down gradually in Ikeja. Thank God things are improving. 🙏,positive,water going gradually ikeja thank god thing improving
Traffic is slow because of water on the road in Victoria Island. #Lagos #rain,neutral,traffic slow water road victoria island lagos rain
NEMA where una dey for Yaba o. This Lagos flood no be small thing.,negative,nema yaba lagos flood serious
Neighbours are helping each other at Surulere. Thank God things are improving. 🙏,positive,neighbour helping surulere thank god thing improving
Traffic is slow because of water on the road in Iyana Ipaja. #Lagos #rain,neutral,traffic slow water road iyana ipaja lagos rain
Rescue teams just arrived at Surulere. Thank God things are improving. 🙏,positive,rescue team arrived surulere thank god thing improving
My street is completely flooded in Lekki. #LagosFlood #flood,negative,street completely flooded lekki lagosflood flood
Rescue teams just arrived at Agege. Thank God things are improving. 🙏,positive,rescue team arrived agege thank god thing improving
Neighbours are helping each other at Victoria Island. Thank God things are improving. 🙏,positive,neighbour helping victoria island thank god thing improving
water don full everywhere for Agege o. This Lagos flood no be small thing.,negative,water already full everywhere agege lagos flood serious
Cars are stuck in the water in Ikeja. #LagosFlood #flood,negative,car stuck water ikeja lagosflood flood
LASEMA is finally on ground at Ikorodu. Thank God things are improving. 🙏,positive,lasema finally ground ikorodu thank god thing improving
NEMA where una dey for Yaba o. This Lagos flood no be small thing.,negative,nema yaba lagos flood serious
It rained heavily in Ajah. #Lagos #rain,neutral,rained heavily ajah lagos rain
Neighbours are helping each other at Yaba. Thank God things are improving. 🙏,positive,neighbour helping yaba thank god thing improving
People are trapped in their houses in Ikorodu. #LagosFlood #flood,negative,people trapped house ikorodu lagosflood flood
Update: water level rising in Yaba. #Lagos #rain,neutral,update water level rising yaba lagos rain
Water is going down gradually in Surulere. Thank God things are improving. 🙏,positive,water going gradually surulere thank god thing improving
Government just sent trucks to Lekki. Thank God things are improving. 🙏,positive,government sent truck lekki thank god thing improving
Serious downpour this morning around Agege. #Lagos #rain,neutral,serious downpour morning around agege lagos rain
Flood reported in parts of Ikeja. #Lagos #rain,neutral,flood reported part ikeja lagos rain
Government just sent trucks to Victoria Island. Thank God things are improving. 🙏,positive,government sent truck victoria island thank god thing improving
Water is going down gradually in Ikeja. Thank God things are improving. 🙏,positive,water going gradually ikeja thank god thing improving
It rained heavily in Ikeja. #Lagos #rain,neutral,rained heavily ikeja lagos rain
no motor fit pass for Surulere o. This Lagos flood no be small thing.,negative,motor fit pas surulere lagos flood serious
Rescue teams just arrived at Surulere. Thank God things are improving. 🙏,positive,rescue team arrived surulere thank god thing improving
I dey stranded for for Lekki o. This Lagos flood no be small thing.,negative,stranded lekki lagos flood serious
Traffic is slow because of water on the road in Ikorodu. #Lagos #rain,neutral,traffic slow water road ikorodu lagos rain
Flood reported in parts of Victoria Island. #Lagos #rain,neutral,flood reported part victoria island lagos rain
Rescue teams just arrived at Ikorodu. Thank God things are improving. 🙏,positive,rescue team arrived ikorodu thank god thing improving
Traffic is slow because of water on the road in Victoria Island. #Lagos #rain,neutral,traffic slow water road victoria island lagos rain
People are trapped in their houses in Ikorodu. #LagosFlood #flood,negative,people trapped house ikorodu lagosflood flood
no motor fit pass for Ikeja o. This Lagos flood no be small thing.,negative,motor fit pas ikeja lagos flood serious
Serious downpour this morning around Agege. #Lagos #rain,neutral,serious downpour morning around agege lagos rain
Government just sent trucks to Iyana Ipaja. Thank God things are improving. 🙏,positive,government sent truck iyana ipaja thank god thing improving
Government just sent trucks to Yaba. Thank God things are improving. 🙏,positive,government sent truck yaba thank god thing improving
Traffic is slow because of water on the road in Iyana Ipaja. #Lagos #rain,neutral,traffic slow water road iyana ipaja lagos rain
Rescue teams just arrived at Lekki. Thank God things are improving. 🙏,positive,rescue team arrived lekki thank god thing improving
Flood reported in parts of Yaba. #Lagos #rain,neutral,flood reported part yaba lagos rain
Neighbours are helping each other at Ikeja. Thank God things are improving. 🙏,positive,neighbour helping ikeja thank god thing improving
Serious downpour this morning around Victoria Island. #Lagos #rain,neutral,serious downpour morning around victoria island lagos rain
LASEMA is finally on ground at Ikeja. Thank God things are improving. 🙏,positive,lasema finally ground ikeja thank god thing improving
Update: water level rising in Victoria Island. #Lagos #rain,neutral,update water level rising victoria island lagos rain
No rescue team yet in Agege. #LagosFlood #flood,negative,rescue team yet agege lagosflood flood
road don block finish for Yaba o. This Lagos flood no be small thing.,negative,road already block finish yaba lagos flood serious
Rescue teams just arrived at Ikorodu. Thank God things are improving. 🙏,positive,rescue team arrived ikorodu thank god thing improving
Update: water level rising in Surulere. #Lagos #rain,neutral,update water level rising surulere lagos rain
The drainage has totally failed in Iyana Ipaja. #LagosFlood #flood,negative,drainage totally failed iyana ipaja lagosflood flood
Serious downpour this morning around Lekki. #Lagos #rain,neutral,serious downpour morning around lekki lagos rain
Government just sent trucks to Yaba. Thank God things are improving. 🙏,positive,government sent truck yaba thank god thing improving
People are trapped in their houses in Ikorodu. #LagosFlood #flood,negative,people trapped house ikorodu lagosflood flood
I dey stranded for for Ikorodu o. This Lagos flood no be small thing.,negative,stranded ikorodu lagos flood serious
Serious downpour this morning around Iyana Ipaja. #Lagos #rain,neutral,serious downpour morning around iyana ipaja lagos rain
no motor fit pass for Ikorodu o. This Lagos flood no be small thing.,negative,motor fit pas ikorodu lagos flood serious
Rescue teams just arrived at Ajah. Thank God things are improving. 🙏,positive,rescue team arrived ajah thank god thing improving
Rescue teams just arrived at Victoria Island. Thank God things are improving. 🙏,positive,rescue team arrived victoria island thank god thing improving
No rescue team yet in Agege. #LagosFlood #flood,negative,rescue team yet agege lagosflood flood
This flood is getting worse in Victoria Island. #LagosFlood #flood,negative,flood getting worse victoria island lagosflood flood
Cars are stuck in the water in Ajah. #LagosFlood #flood,negative,car stuck water ajah lagosflood flood
Traffic is slow because of water on the road in Surulere. #Lagos #rain,neutral,traffic slow water road surulere lagos rain
water don full everywhere for Ikeja o. This Lagos flood no be small thing.,negative,water already full everywhere ikeja lagos flood serious
Flood reported in parts of Ikorodu. #Lagos #rain,neutral,flood reported part ikorodu lagos rain
Serious downpour this morning around Ikorodu. #Lagos #rain,neutral,serious downpour morning around ikorodu lagos rain
Traffic is slow because of water on the road in Agege. #Lagos #rain,neutral,traffic slow water road agege lagos rain
I dey stranded for for Ikorodu o. This Lagos flood no be small thing.,negative,stranded ikorodu lagos flood serious
This flood is getting worse in Ikorodu. #LagosFlood #flood,negative,flood getting worse ikorodu lagosflood flood
Government just sent trucks to Yaba. Thank God things are improving. 🙏,positive,government sent truck yaba thank god thing improving
It rained heavily in Agege. #Lagos #rain,neutral,rained heavily agege lagos rain
Rescue teams just arrived at Ajah. Thank God things are improving. 🙏,positive,rescue team arrived ajah thank god thing improving
Neighbours are helping each other at Lekki. Thank God things are improving. 🙏,positive,neighbour helping lekki thank god thing improving
LASEMA is finally on ground at Agege. Thank God things are improving. 🙏,positive,lasema finally ground agege thank god thing improving
Cars are stuck in the water in Yaba. #LagosFlood #flood,negative,car stuck water yaba lagosflood flood
Update: water level rising in Ikeja. #Lagos #rain,neutral,update water level rising ikeja lagos rain
Water is going down gradually in Ikeja. Thank God things are improving. 🙏,positive,water going gradually ikeja thank god thing improving
Neighbours are helping each other at Ikorodu. Thank God things are improving. 🙏,positive,neighbour helping ikorodu thank god thing improving
Flood reported in parts of Iyana Ipaja. #Lagos #rain,neutral,flood reported part iyana ipaja lagos rain
Update: water level rising in Ikorodu. #Lagos #rain,neutral,update water level rising ikorodu lagos rain
Flood reported in parts of Ikorodu. #Lagos #rain,neutral,flood reported part ikorodu lagos rain
